12:51:41 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:43 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:45 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:47 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:49 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:51 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:53 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:55 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:57 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:51:59 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:01 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:03 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:05 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:07 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:09 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:11 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:13 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:15 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:17 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:19 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:21 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:23 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:25 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:27 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:29 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:31 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:33 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:35 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:37 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:39 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:41 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:43 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:45 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:47 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:49 - Title='No More Love', Artist='Penny Tai', State='Playing'
12:52:51 - Title='No More Love', Artist='Penny Tai', State='Playing'
